task_id,task_description,priority,deadline,assigned_to,status,created_at,estimated_hours,actual_hours
TASK_89951,Schedule meeting with stakeholders next week.,Medium,2025-08-01,user_37,In Progress,2025-05-26,7.97,6.9
TASK_83109,Task needs completion before end of the day.,High,2025-07-11,user_67,To Do,2025-06-13,12.73,14.89
TASK_49771,Critical bug in production impacting all users.,Critical,2025-07-01,user_76,Completed,2025-06-08,14.14,12.29
TASK_69966,Prepare for upcoming product launch this week.,High,2025-08-07,user_52,To Do,2025-05-24,13.88,17.28
TASK_24871,Client report must be submitted by evening.,High,2025-06-29,user_73,To Do,2025-06-05,12.74,14.07
TASK_17314,Schedule meeting with stakeholders next week.,Medium,2025-07-13,user_43,To Do,2025-05-26,2.42,2.78
TASK_55654,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-08-15,user_33,To Do,2025-05-30,14.44,17.96
TASK_59958,Complete documentation for current sprint.,Medium,2025-08-12,user_4,In Progress,2025-05-31,2.46,3.5
TASK_56790,Complete documentation for current sprint.,Medium,2025-08-17,user_75,Completed,2025-06-07,7.44,9.59
TASK_20622,Critical bug in production impacting all users.,,2025-06-23,user_69,In Progress,2025-05-26,6.85,5.31
TASK_94705,,High,2025-07-06,user_3,To Do,2025-05-22,10.9,13.97
TASK_43861,Conduct mid-cycle review of project progress.,Medium,2025-06-23,user_27,In Progress,2025-06-06,9.85,11.55
TASK_92468,Complete documentation for current sprint.,Medium,2025-07-28,user_22,In Progress,2025-06-04,13.44,14.88
TASK_62910,Schedule meeting with stakeholders next week.,Medium,2025-07-02,user_72,Completed,2025-06-18,6.01,5.2
TASK_46388,Prepare for upcoming product launch this week.,High,2025-07-03,user_55,,2025-05-25,10.47,12.88
TASK_11314,Refactor legacy module as per guidelines.,Medium,2025-06-26,user_4,Completed,2025-05-24,15.19,16.81
TASK_45923,URGENT: System failure requires immediate attention.,,2025-08-02,user_57,In Progress,2025-05-20,15.1,18.8
TASK_96222,Update user avatars with new icons.,Low,2025-08-01,user_75,In Progress,2025-06-18,12.98,13.64
TASK_81048,Coordinate with design team on layout feedback.,Medium,2025-07-09,user_8,To Do,2025-06-08,14.92,14.86
TASK_85740,Improve UI consistency across all pages.,Low,2025-07-30,user_59,To Do,2025-06-03,3.51,4.86
TASK_67172,Enhance logging for future debugging.,Low,2025-07-08,user_29,To Do,2025-05-31,9.72,13.58
TASK_88411,Critical bug in production impacting all users.,Critical,2025-06-29,user_6,To Do,2025-06-14,2.26,2.99
TASK_55831,Code review required urgently for merge.,High,2025-07-20,user_4,In Progress,2025-05-29,7.96,8.94
TASK_29671,Clean up old branches from repository.,Low,2025-06-22,user_11,In Progress,2025-06-01,9.12,8.27
TASK_91088,Task needs completion before end of the day.,High,2025-08-11,user_70,Completed,2025-06-18,8.99,12.08
TASK_24968,Organize code comments and improve readability.,Low,2025-07-23,user_51,Completed,2025-05-31,5.81,9.75
TASK_82032,High priority task: Resolve server outage now.,Critical,2025-06-27,user_65,To Do,2025-05-20,4.78,4.98
TASK_33010,Update user avatars with new icons.,Low,2025-07-21,user_50,In Progress,2025-05-31,11.45,14.59
TASK_11357,Conduct mid-cycle review of project progress.,Medium,2025-06-25,user_24,Completed,2025-05-31,13.49,15.94
TASK_93063,Organize code comments and improve readability.,Low,2025-07-23,user_22,In Progress,2025-06-08,9.1,11.75
