,task_id,task_description,priority,deadline,assigned_to,status,created_at,estimated_hours,actual_hours,task_type
0,TASK_36085,Code review required urgently for merge.,High,2025-07-21,user_36,To Do,2025-05-23,15.58,17.97,Meeting
1,TASK_47492,Task needs completion before end of the day.,High,2025-07-25,user_70,Done,2025-06-02,13.13,13.26,Other
2,TASK_60680,High priority task: Resolve server outage now.,Critical,2025-06-21,,In Progress,2025-05-29,8.83,8.4,Support
3,TASK_15554,Database optimization needed before backup.,High,2025-06-24,user_46,In Progress,2025-05-23,8.35,10.48,Other
4,TASK_10877,Code review required urgently for merge.,High,2025-08-10,user_20,In Progress,2025-06-03,4.27,4.58,Meeting
5,TASK_85745,Client report must be submitted by evening.,High,2025-08-12,user_79,To Do,2025-06-01,3.42,2.18,Other
6,TASK_54122,Conduct mid-cycle review of project progress.,Medium,2025-07-15,user_83,Blocked,2025-06-16,3.03,6.31,Meeting
7,TASK_99383,URGENT: System failure requires immediate attention.,Critical,2025-07-08,user_5,In Progress,2025-06-16,12.38,16.33,Debugging
8,TASK_24199,Update user avatars with new icons.,Low,2025-06-20,user_94,Blocked,2025-06-06,2.88,1.5,Other
9,TASK_34266,Enhance logging for future debugging.,Low,2025-06-19,user_90,Blocked,2025-06-08,12.19,13.83,Debugging
10,TASK_89193,Coordinate with design team on layout feedback.,Medium,2025-07-20,user_26,In Progress,2025-05-25,9.88,10.25,Development
11,TASK_82951,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-06-22,user_46,To Do,2025-06-11,4.22,4.16,Debugging
12,TASK_53873,URGENT: System failure requires immediate attention.,Critical,2025-08-07,user_53,To Do,2025-06-15,15.75,14.09,Debugging
13,TASK_67187,Organize code comments and improve readability.,Low,2025-08-16,user_17,Blocked,2025-06-02,10.76,13.55,Other
14,TASK_55911,Database optimization needed before backup.,High,2025-08-07,user_20,Blocked,2025-05-31,13.16,13.62,Other
15,TASK_80791,High priority task: Resolve server outage now.,Critical,2025-07-20,user_100,Done,2025-05-30,9.09,10.23,Support
16,TASK_30715,Enhance logging for future debugging.,Low,2025-08-08,user_90,In Progress,2025-05-22,5.96,5.53,Debugging
17,TASK_77554,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-08-06,user_46,To Do,2025-06-09,9.1,9.6,Debugging
18,TASK_85188,Client report must be submitted by evening.,High,2025-07-24,user_80,Blocked,2025-06-06,10.04,13.16,Other
19,TASK_80852,Critical bug in production impacting all users.,Critical,2025-07-18,user_5,To Do,2025-06-07,9.42,8.51,Debugging
20,TASK_43275,Improve UI consistency across all pages.,,2025-07-04,user_57,Done,2025-06-02,10.44,14.03,Development
