task_id,task_description,priority,deadline,assigned_to,status,created_at,estimated_hours,actual_hours
TASK_00001,tv long impact need among difference get experience head three market important current itself.,Low,2025-07-04,,To Do,2025-05-28,9.179173918636458,9.174230657388726
TASK_00002,everything security institution community student everything environment just participant allow sound your present final. please do it asap,Medium,2025-05-15,user_15,To Do,2025-05-04,14.94718259052595,16.87346518578269
TASK_00003,size through do drop everybody. please do it asap,High,2025-06-05,user_56,To Do,2025-04-07,10.874983010683192,10.951447068933962
TASK_00004,century evening medical wife wonder hit baby. thanks!,Medium,2025-06-24,user_44,,2025-05-02,7.166648665097644,7.679902766521804
TASK_00005,church appear score management baby.,Medium,2025-05-13,user_3,In Progress,2025-04-15,5.725362695701716,10.407275148480561
TASK_00006,trial spring human carry perhaps phone week.,Low,2025-06-10,user_23,Blocked,2025-05-27,3.6011263907444038,5.683851700282891
TASK_00007,,Medium,2025-07-06,user_4,To Do,2025-05-16,4.422873277969699,8.64239821377322
TASK_00008,scene return begin region son value protect inside most.,Medium,2025-05-30,user_4,To Do,2025-04-10,7.818174523453328,6.997669368373181
TASK_00009,product health wish partner across represent measure later check rise end.,Medium,2025-04-22,user_68,To Do,2025-04-12,4.575584528751546,6.275072512880037
TASK_00010,account my free whose suggest. thanks!,Low,2025-04-09,user_63,,2025-04-07,6.935844081469431,6.766721153147412
TASK_00011,specific effect beautiful with seat father because coach job.,Low,2025-05-11,user_62,To Do,2025-04-11,1.0,0.9500135898385528
TASK_00012,wear need pressure stage organization cut civil certain learn throughout exist ahead.,Low,2025-05-13,user_6,Done,2025-04-10,7.7319283500558855,6.799832203861623
TASK_00013,small main never upon occur information stop economic yourself move.,High,2025-06-12,user_56,To Do,2025-05-25,4.325174707173325,1.2359443313604896
TASK_00014,professional particular cost partner firm national through site draw final smile. !!!,Critical,2025-06-15,user_31,In Progress,2025-05-25,6.463654248023064,6.552026842687687
TASK_00015,perhaps total break performance stand field develop camera radio expect memory.,Low,2025-05-15,user_62,Blocked,2025-05-07,4.494728041485583,8.391259240157728
TASK_00016,reach from pull nor must capital.,Medium,2025-05-11,user_43,To Do,2025-04-22,10.963900837965156,10.976339974783647
TASK_00017,,,2025-05-05,user_24,In Progress,2025-04-15,8.127874370809424,7.086364461961418
TASK_00018,,Medium,2025-05-08,user_6,To Do,2025-04-16,5.2385683452429905,3.7486029042746676
TASK_00019,try machine republican family moment body government response citizen anything determine current work stay book who remain before.,Low,2025-05-28,user_42,In Progress,2025-05-09,5.734234471488582,4.408205109932362
TASK_00020,beat say next state yourself debate. <br>,Medium,2025-05-26,user_92,To Do,2025-04-17,8.716062402182398,3.6943288237428895
TASK_00021,republican life number drive radio nation ever material city article century every.,Medium,2025-05-16,user_34,To Do,2025-04-19,6.549713146819968,7.537666381283556
TASK_00022,carry serious picture television baby suggest career.,Medium,2025-05-28,user_26,To Do,2025-05-04,8.48512902400607,6.987985575756128
TASK_00023,population western mission rise a degree month generation information show.,High,2025-07-16,user_89,To Do,2025-06-03,6.475372241550501,8.23597939524227
TASK_00024,beat deal the meet member off activity institution phone thought already. thanks!,Low,2025-05-27,user_99,In Progress,2025-04-20,5.040997522282811,5.5281183695640745
TASK_00025,yourself begin ahead candidate table middle.,Medium,2025-06-09,user_46,In Progress,2025-04-16,9.04120201732516,11.778356659787363
TASK_00026,how heart if soon physical difficult sport front station room contain. thanks!,High,2025-06-04,user_15,To Do,2025-05-25,4.252549809590934,2.834198055101255
TASK_00027,me during model cell democratic.,Low,2025-05-07,user_53,In Progress,2025-04-24,13.322808697844184,11.473132363558944
TASK_00028,pattern actually beyond three later hundred else.,Low,2025-06-11,user_45,In Progress,2025-04-19,9.350109421330894,8.941005789067711
TASK_00029,machine nature executive financial get allow.,High,2025-06-19,user_36,Blocked,2025-05-31,9.134988715874123,11.09157052861763
TASK_00030,thousand red increase chair box account most pull majority pm popular agree audience.,Low,2025-07-24,user_23,Blocked,2025-05-29,7.8068162279640845,7.519096409873268
TASK_00031,hear any time forward figure song involve short order our security so report notice whole central save local.,Medium,2025-05-12,user_18,To Do,2025-04-10,7.908231822808164,7.490420397501656
TASK_00032,those room walk size stand group difficult approach red expert. 🔥,Medium,2025-05-14,user_70,To Do,2025-04-20,12.979033820508777,15.016910831473357
TASK_00033,model which way like buy.,Low,2025-06-08,user_49,Done,2025-04-29,11.374280097798046,10.991374588726494
TASK_00034,tree risk likely case opportunity their apply raise born evidence put.,Medium,2025-05-27,user_59,To Do,2025-05-14,7.620900831275482,5.71437602046816
TASK_00035,us interview south recent who which learn people quite save dream detail.,High,2025-06-08,user_81,Done,2025-05-25,16.94995769818049,16.103301317885997
TASK_00036,program popular trouble theory prepare would statement your under high push brother market appear. thanks!,High,2025-06-22,user_24,In Progress,2025-05-01,12.65793561025621,11.70829306692652
TASK_00037,one media reveal space growth. thanks!,Medium,2025-04-16,user_16,In Progress,2025-04-10,5.507079059818446,7.033363940041809
TASK_00038,blood range determine pass house they future while consumer. !!!,High,2025-06-20,user_13,To Do,2025-05-05,12.051849901662582,11.980745670458221
TASK_00039,course style hour travel purpose option drive father. please do it asap,Low,2025-06-29,user_65,,2025-05-30,8.822528958336376,8.66940893397066
TASK_00040,west culture major relate best commercial discussion sea maintain property approach.,Medium,2025-05-16,user_98,To Do,2025-05-15,8.682227162991703,10.893011239975031
TASK_00041,health three theory issue three into.,Medium,2025-06-21,user_96,Done,2025-05-05,7.4152725106120805,7.163833868010143
TASK_00042,coach situation system project money option cut idea return partner office foreign.,High,2025-07-02,user_26,To Do,2025-05-22,10.667325930596789,10.87334939103014
TASK_00043,manager example season work bad cold force during cause little president.,Low,2025-04-16,user_89,In Progress,2025-04-13,8.99084189981606,8.580982152806694
TASK_00044,often current water wife rule create focus among paper why whatever. <br>,High,2025-06-17,user_77,In Progress,2025-04-27,8.3524217261544,6.947105698211144
TASK_00045,close prepare enter weight small maintain measure line pattern.,Low,2025-04-22,user_40,To Do,2025-04-07,10.943199467289604,11.00995892769058
TASK_00046,appear must up good movement word late push partner report. 🔥,Medium,2025-05-26,user_19,In Progress,2025-04-14,4.876865149076,8.970520406492458
TASK_00047,indeed choice up spend turn continue.,High,2025-04-25,user_37,Blocked,2025-04-24,5.5111807107693895,2.574157872926894
TASK_00048,arm thus rich until response actually organization middle bring door price education later team night.,Low,2025-07-13,user_48,To Do,2025-05-29,13.427009792911448,13.130458342424008
TASK_00049,go rest among base present just knowledge be deal unit left though start.,Low,2025-06-25,user_21,To Do,2025-06-05,5.3910186337468815,5.620925376962549
TASK_00050,alone even participant physical difficult allow election professional attorney just even specific key would western always task such. 🔥,High,2025-06-03,user_59,In Progress,2025-05-24,13.877790320878521,11.334738775170202
TASK_00051,really economic science family small develop head but.,Medium,2025-05-05,user_78,To Do,2025-04-29,4.777933867019381,3.7330325079915614
TASK_00052,including find pick himself speak speech.,Critical,2025-06-01,user_4,Blocked,2025-05-15,8.020106708593707,5.254517921230098
TASK_00053,want issue individual region remain situation painting style paper pick really night dinner. !!!,,2025-04-16,user_99,To Do,2025-04-12,16.883237191136992,14.024746397744067
TASK_00054,big public effort yourself leave all such already fall watch note west few culture card of true quite father.,High,2025-05-11,user_65,To Do,2025-04-07,7.925395289153907,7.75786909781794
TASK_00055,appear fill international health role by.,High,2025-04-09,user_45,In Progress,2025-04-07,4.313916787911568,5.830372088135217
TASK_00056,religious then sister store condition win attention cost center whole.,Medium,2025-05-29,user_43,To Do,2025-05-02,5.319122476934969,6.736307472656863
TASK_00057,any happen remain decade run nothing attorney laugh. thanks!,Medium,2025-07-25,user_80,In Progress,2025-06-05,4.923299894791355,5.668873130000848
TASK_00058,among wait speech support station defense.,Medium,2025-05-21,user_57,In Progress,2025-05-17,9.247857722515272,7.88623002230917
TASK_00059,,High,2025-05-25,user_81,Done,2025-05-03,3.816064883430366,1.4272952537586443
TASK_00060,live accept another hot.,,2025-06-16,user_97,Done,2025-04-25,4.748464379930125,6.248544801163931
TASK_00061,when country three interview recent defense mission whom quite.,Low,2025-06-08,user_100,In Progress,2025-04-30,4.263929446616373,3.9343195330735576
TASK_00062,window bag senior project into car off there.,Medium,2025-06-28,user_81,Blocked,2025-05-30,11.177557178022937,11.950090656800546
TASK_00063,system technology friend everybody the level computer coach maintain.,High,2025-05-08,user_28,In Progress,2025-05-02,9.915939374247376,11.649652355527522
TASK_00064,side true vote loss and parent course better.,Medium,2025-04-27,user_64,To Do,2025-04-23,12.219751717451647,8.473945816095686
TASK_00065,behind television agreement pm ok state one poor realize type none their condition degree.,Medium,2025-05-28,user_36,To Do,2025-05-24,11.068792668116311,11.13978073441758
TASK_00066,or some go card nothing move.,Medium,2025-06-21,user_36,Done,2025-05-06,8.596384692868176,13.110425936918661
TASK_00067,board same produce four help guess blue beyond task.,Medium,2025-07-16,user_35,Done,2025-06-02,8.435149524382707,6.834104165941003
TASK_00068,in spend employee without air reduce. asap,Critical,2025-06-02,user_23,To Do,2025-04-26,4.796547057751944,0.6090126496008574
TASK_00069,energy lot tough follow heart every toward chair read pressure red area street local system believe.,Critical,2025-06-10,user_80,To Do,2025-05-02,3.035296764360334,6.902228812561454
TASK_00070,member everything board indicate always bit out task.,Low,2025-05-15,user_88,In Progress,2025-05-04,9.22504303315377,12.12512274645555
TASK_00071,build tonight involve artist himself perform.,,2025-04-25,user_10,Done,2025-04-14,9.755114235494938,11.539927269705807
TASK_00072,himself become rest tv quality member recent the course.,Medium,2025-06-01,user_60,To Do,2025-05-24,7.047762318861859,6.52155337677525
TASK_00073,ahead force then sea.,High,2025-06-30,user_69,Done,2025-06-03,10.485900574071096,10.69258438159016
TASK_00074,too option score decide few buy. <br>,Medium,2025-06-25,user_16,To Do,2025-05-12,11.23278999564763,13.80887526820654
TASK_00075,event place time evidence contain force do another mention to field direction mouth.,Medium,2025-05-22,user_41,To Do,2025-05-20,11.306424917771524,11.835389662451206
TASK_00076,nor specific add plan daughter minute cover budget development include. 🔥,Critical,2025-05-15,user_6,To Do,2025-04-07,8.623809159479926,11.089973613119621
TASK_00077,million part get few resource realize will establish rock president happy close admit development for rise.,Low,2025-07-15,user_26,Blocked,2025-05-19,11.667407283175258,12.177096638655616
TASK_00078,water interview whom indicate far listen success tell relationship assume develop.,High,2025-05-17,user_60,In Progress,2025-04-07,8.510334902563114,7.171828931706674
TASK_00079,effort live thought nation well experience building turn begin activity between collection skin culture. please do it asap,High,2025-05-19,user_36,Blocked,2025-05-09,6.387926737808829,3.219095826901612
TASK_00080,public exactly eight teacher we.,High,2025-06-17,user_81,To Do,2025-05-03,8.436885590318608,8.426296095007144
TASK_00081,rich stuff that again money top specific hear interest thus. <br>,High,2025-05-12,,In Progress,2025-05-01,5.294179458680367,4.930563858588089
TASK_00082,kind film involve loss study yes sing health computer issue strategy west concern beyond number wife just main. thanks!,High,2025-07-05,user_81,Done,2025-05-15,7.005388231638156,3.023535385207929
TASK_00083,fight house send thus guy perhaps common science then leader main hit some nice art simple the interesting.,Medium,2025-05-27,user_13,To Do,2025-05-01,11.060091357551727,12.992739957635559
TASK_00084,leader stay close name total task natural tree where year.,Medium,2025-06-11,user_31,To Do,2025-05-03,9.2625702829595,9.513048623617633
TASK_00085,not present service station against nearly say marriage second garden take field industry.,,2025-05-16,user_63,To Do,2025-04-15,5.93562784500822,8.62282638413116
TASK_00086,behind somebody history picture chance marriage american cup project i population myself yes.,High,2025-07-24,user_9,In Progress,2025-05-26,11.514639620904955,12.944517902394194
TASK_00087,security pm pay catch pass business camera well drive newspaper. thanks!,High,2025-06-07,user_27,Done,2025-05-17,11.040095767529774,9.437207326643755
TASK_00088,inside head because tv walk significant environmental use stock or million then military tend century. asap,Medium,2025-05-18,user_81,To Do,2025-05-05,7.202946862981586,6.727936376889013
TASK_00089,international film clear picture her class film protect operation later bill environmental south.,Medium,2025-07-02,user_69,Done,2025-06-02,4.945822161664963,5.7178376450216515
TASK_00090,modern partner field research source two future program when into education me party skill half. please do it asap,Medium,2025-06-24,user_5,In Progress,2025-05-08,4.981352161770013,6.84262266942072
TASK_00091,degree star wonder business reveal song bed indeed data write style make evening by. 🔥,,2025-06-16,user_70,Blocked,2025-05-17,6.589353843982039,8.025720876121484
TASK_00092,market list participant cut store affect protect nature meet.,Medium,2025-06-01,user_93,To Do,2025-04-28,9.07007513390867,11.159321694015967
TASK_00093,draw president spring treat answer.,Medium,2025-07-15,user_67,Done,2025-06-01,2.2295642794101553,4.6673463373295325
TASK_00094,race support against early laugh finish economic country event quality get best hundred. <br>,High,2025-07-05,user_32,In Progress,2025-05-20,9.171993916245265,8.351473655259218
TASK_00095,dog pay very right federal wish.,Low,2025-06-07,user_92,To Do,2025-04-24,6.007375398027219,6.172316326058996
TASK_00096,cup recognize number economic party method. asap,Medium,2025-07-02,user_26,Blocked,2025-05-26,11.326732375197924,11.945061593493987
TASK_00097,protect green story benefit environment entire home.,High,2025-05-04,user_88,To Do,2025-04-30,10.501441884231378,11.84476817398463
TASK_00098,such picture measure crime ground single month true much.,High,2025-05-05,user_82,In Progress,2025-04-08,6.022157980955375,8.937446316248959
TASK_00099,over land building report prevent early now production him traditional ever this. thanks!,Medium,2025-05-04,user_6,To Do,2025-04-19,6.676520821864443,5.977960496087206
TASK_00100,option ten method social there.,High,2025-05-25,user_56,In Progress,2025-04-29,8.368812832302773,5.0142932335102195
TASK_00101,according surface want better return man audience.,Medium,2025-05-18,user_63,Done,2025-05-14,7.898281083288767,3.227787235847755
TASK_00102,whose claim speech class.,High,2025-07-15,user_43,To Do,2025-05-30,9.166349288805298,8.185752048579555
TASK_00103,my energy eat ok away center list like draw mind.,High,2025-06-14,user_16,Blocked,2025-04-21,7.5322390362928315,6.602506513158074
TASK_00104,sort whether not challenge order statement.,Medium,2025-06-15,user_53,Done,2025-06-04,6.958330547120543,6.822008566068816
TASK_00105,quality special standard rather option debate bit item.,Low,2025-06-29,user_60,,2025-05-14,8.320622998510876,6.492739584144781
TASK_00106,commercial fast either somebody voice heart fall police risk practice many bill education benefit human rate. !!!,Medium,2025-06-05,user_58,To Do,2025-05-30,5.576926579369022,0.8447714948903515
TASK_00107,become cause learn tonight black by career admit out remain maybe name show group those.,High,2025-06-20,user_60,Done,2025-05-18,2.227791893152343,3.046970619808815
TASK_00108,pressure draw dark writer somebody investment relate case physical born understand east specific no him cold case name ask.,Critical,2025-05-19,user_77,In Progress,2025-04-08,5.308009094766126,9.45716860567692
TASK_00109,paper outside trouble skill garden.,Medium,2025-06-06,user_88,Done,2025-05-23,10.19926211233817,11.76143741032853
TASK_00110,mission perhaps deep coach whose age thousand. <br>,Low,2025-05-09,user_64,To Do,2025-04-25,11.959170377725243,10.220772872988336
TASK_00111,will say by put though maybe himself less strong senior interview table write total.,Critical,2025-07-17,user_13,In Progress,2025-05-21,17.062149495333053,20.019666243037015
TASK_00112,walk center painting standard affect whole whatever character.,Medium,2025-05-12,user_72,In Progress,2025-04-19,5.6529206587951695,6.661620071528841
TASK_00113,through there answer glass star write have experience require feeling media.,Low,2025-06-21,user_41,,2025-05-29,8.001060826113088,7.557841921802975
TASK_00114,among sense inside speech remember service finally list affect drug table word us thing green.,Low,2025-07-10,user_35,Done,2025-06-02,1.0,1.0149255851083605
TASK_00115,,Low,2025-05-24,user_55,Blocked,2025-05-22,3.144843090373194,3.266004095081286
TASK_00116,bill imagine several many important read every return police policy call walk. asap,Critical,2025-05-24,user_63,In Progress,2025-05-22,12.877746854505837,14.308292360219728
TASK_00117,art draw although its protect physical necessary difference whether position either push them adult identify some occur.,,2025-07-13,,Done,2025-06-01,5.568103525155222,8.509684131182354
